Metric,AI Mean,AI Median,AI Q1,AI Q3,Human Mean,Human Median,Human Q1,Human Q3,Diff (AIâˆ’Human) Mean,Diff (AIâˆ’Human) Median,% Diff Mean
Lines Added,530.7167019027485,40.0,9.0,166.0,845.53911205074,53.0,10.0,276.0,-314.8224101479915,-13.0,-37.23
Lines Removed,343.01902748414375,4.0,1.0,19.0,207.48837209302326,13.0,2.0,58.0,135.5306553911205,-9.0,65.32
Commits,5.209302325581396,3.0,1.0,6.0,5.422832980972516,2.0,1.0,5.0,-0.21353065539112048,1.0,-3.94
Review Submissions,3.2938689217758985,1.0,0.0,3.0,2.5665961945031714,1.0,0.0,3.0,0.7272727272727271,0.0,28.34
Human Review Submissions,2.13107822410148,1.0,0.0,2.0,2.0021141649048624,1.0,0.0,2.0,0.1289640591966177,0.0,6.44
Bot Review Submissions,1.1627906976744187,0.0,0.0,1.0,0.5644820295983086,0.0,0.0,1.0,0.59830866807611,0.0,105.99
Inline Code Comments,2.5771670190274842,0.0,0.0,2.0,2.503171247357294,0.0,0.0,2.0,0.07399577167019045,0.0,2.96
Human Inline Comments,1.5010570824524312,0.0,0.0,1.0,1.7061310782241015,0.0,0.0,1.0,-0.2050739957716703,0.0,-12.02
Discussion Comments,3.6109936575052854,2.0,1.0,4.0,1.8456659619450317,1.0,0.0,2.0,1.7653276955602537,1.0,95.65
Human Discussion Comments,1.1268498942917549,0.0,0.0,1.0,0.6659619450317125,0.0,0.0,1.0,0.4608879492600424,0.0,69.21
Total Comments (inline + discussion),6.188160676532769,3.0,1.0,6.0,4.348837209302325,2.0,0.0,5.0,1.839323467230444,1.0,42.29
Total Comment Words,602.4968287526427,186.0,52.0,714.0,669.6786469344609,109.0,0.0,538.0,-67.18181818181813,77.0,-10.03
Inline Comment Words,74.07188160676533,0.0,0.0,43.0,136.92600422832982,0.0,0.0,38.0,-62.854122621564485,0.0,-45.9
Discussion Comment Words,432.1754756871036,104.0,9.0,475.0,317.7019027484144,39.0,0.0,199.0,114.47357293868919,65.0,36.03
Unique Human Reviewers,1.2473572938689217,1.0,0.0,2.0,1.160676532769556,1.0,0.0,2.0,0.08668076109936562,0.0,7.47
Approvals,0.8498942917547568,1.0,0.0,1.0,0.642706131078224,1.0,0.0,1.0,0.20718816067653278,0.0,32.24
Changes Requested,0.10782241014799154,0.0,0.0,0.0,0.0613107822410148,0.0,0.0,0.0,0.046511627906976744,0.0,75.86
Review Rounds,0.10782241014799154,0.0,0.0,0.0,0.0613107822410148,0.0,0.0,0.0,0.046511627906976744,0.0,75.86
